status,station,city,state,country,location,timezone,latitude,longitude,uid,city_lat,city_lon,state_lat,state_lon,updated_at,isOnline,AQI_IN,aqi,co,no2,o3,pm10,pm25,so2,t,clouds,condition,feels_like_c,feels_like_f,gust_kph,gust_mph,humidity,precip_in,precip_mm,pressure_in,pressure_mb,temp_c,temp_f,uv,vis_km,vis_miles,wind_degree,wind_dir,wind_kph,wind_mph,uv_condition,Date
success,"Soni Ni Chali, Ahmedabad, Gujarat, India",Ahmedabad,Gujarat,India,Ahmedabad,Asia/Kolkata,23.0225,72.5714,VIR215,23.0225,72.5714,22.385,71.7453,2026-02-01T11:51:01.000Z,TRUE,311,209,288,46,22,169,141,17,,0,Mist,24.4,75.9,5.8,3.6,61,0,0,30.06,1018,24.1,75.4,5,1.2,0,51,NE,5,3.1,Moderate,2/1/2026
success,"ISRO Colony, Bangalore, Karnataka, India",Bangalore,Karnataka,India,Bangalore,Asia/Kolkata,12.9789,77.5917,PLLODA000328,12.9789,77.5917,14.5204,75.7224,2026-02-01T11:51:01.000Z,TRUE,87,135,271,17,29,68,52,2,,25,Mist,24.7,76.5,20.3,12.6,47,0,0,30.18,1022,24.3,75.7,10.5,5,3,100,E,17.6,11,Extreme,2/1/2026
success,"Kazhikundram, Chennai, Tamil Nadu, India",Chennai,Tamil Nadu,India,Chennai,Asia/Kolkata,13.0825,80.275,11279,13.0825,80.275,10.9094,78.3665,2026-02-01T11:41:01.000Z,TRUE,87,141,366,4,11,66,52,2,,50,Partly cloudy,31.2,88.1,24.8,15.4,70,0,0.01,30.03,1017,29,84.2,8.8,6,3,51,NE,21.6,13.4,Very High,2/1/2026
success,"Kompally, Hyderabad, Telangana, India",Hyderabad,Telangana,India,Hyderabad,Asia/Kolkata,17.4399,78.4983,14149,17.4399,78.4983,17.8496,79.1152,2026-02-01T11:41:01.000Z,TRUE,239,181,262,7,17,127,102,3,,25,Mist,25,77,16.2,10,57,0,0,30.18,1022,24,75.2,7.6,4,2,121,ESE,14,8.7,Very High,2/1/2026
success,"Kamardanga, Kolkata, West Bengal, India",Kolkata,West Bengal,India,Kolkata,Asia/Kolkata,22.62,88.42,VIR5520,22.62,88.42,22.9965,87.6856,2026-02-01T11:41:01.000Z,TRUE,232,179,356,22,12,122,100,2,,50,Mist,22.6,72.7,15.3,9.5,50,0,0,30.09,1019,23,73.4,6.3,2.8,1,348,NNW,13.3,8.3,High,2/1/2026
success,"Mahim, Mumbai, Maharashtra, India",Mumbai,Maharashtra,India,Mumbai,Asia/Kolkata,19.0761,72.8775,13715,19.0761,72.8775,18.9068,75.6742,2026-02-01T11:41:01.000Z,TRUE,291,202,252,30,17,152,127,4,,0,Mist,32.7,90.9,8.9,5.5,55,0,0,30.03,1017,29.3,84.7,5.8,1.6,0,354,N,6.1,3.8,High,2/1/2026
success,"Dwarka, New Delhi, Delhi, India",New Delhi,Delhi,India,New Delhi,Asia/Kolkata,28.6325,77.2205,8181,28.6325,77.2205,28.6274,77.1717,2026-02-01T11:51:01.000Z,TRUE,182,169,168,49,25,109,85,10,,75,Moderate or heavy rain with thunder,17,62.6,10.5,6.6,63,0.01,0.15,30.15,1021,17,62.6,3.5,2.5,1,164,SSE,8.6,5.4,Moderate,2/1/2026
success,"Manjri, Pune, Maharashtra, India",Pune,Maharashtra,India,Pune,Asia/Kolkata,18.5203,73.8567,3767,18.5203,73.8567,18.9068,75.6742,2026-02-01T11:41:00.000Z,TRUE,244,184,233,30,26,127,104,2,,6,Sunny,26.6,79.9,16.6,10.3,30,0,0,30.03,1017,27.6,81.7,6.8,10,6,123,ESE,14.4,8.9,High,2/1/2026
success,"Talkatora, Lucknow, Uttar Pradesh, India",Lucknow,Uttar Pradesh,India,Lucknow,Asia/Kolkata,26.85,80.95,8188,26.85,80.95,27.1303,80.8597,2026-02-01T11:41:01.000Z,TRUE,353,262,234,28,15,235,190,6,,0,Mist,17.3,63.1,7.5,4.6,83,0,0,30.15,1021,17.3,63.1,4.5,1.2,0,333,NNW,6.5,4,Moderate,2/1/2026
success,"Phase 2, Ludhiana, Punjab, India",Ludhiana,Punjab,India,Ludhiana,Asia/Kolkata,30.91,75.85,VIR13356,30.91,75.85,30.9293,75.5005,2026-02-01T11:51:01.000Z,TRUE,371,280,166,7,24,260,212,20,,86,Patchy rain nearby,18.2,64.7,6.5,4,64,0,0.01,30.12,1020,18.2,64.7,2.8,10,6,133,SE,5.4,3.4,Moderate,2/1/2026
